symbol,datetime,open_price,high_price,low_price,close_price,volume,rsi_5,rsi_7,rsi_10,rsi_14,rsi_21,dif,macd,macd_histogram,rsv,k_value,d_value,j_value,ma5,ma10,ma20,ma60,ema12,ema26,bb_upper,bb_middle,bb_lower,atr,cci,willr,mom
2330,2000-01-04 00:00:00.0000000,69.6490,69.6490,68.4752,69.6490,200662336736,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2330,2000-01-05 00:00:00.0000000,69.6490,71.2140,68.8663,71.2140,402466805912,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2330,2000-01-06 00:00:00.0000000,70.8229,71.2140,69.6490,69.6490,197545715802,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2330,2000-01-07 00:00:00.0000000,67.3013,68.4752,66.5186,67.6925,235270344752,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2330,2000-01-10 00:00:00.0000000,69.6490,70.4314,68.4752,70.0402,276171685539,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69.6489,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2330,2000-01-11 00:00:00.0000000,70.8229,71.6052,68.4752,68.8663,277769544650,45.4537,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69.4924,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2330,2000-01-12 00:00:00.0000000,69.2575,70.8229,68.8663,70.8229,216246806621,57.5225,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69.4142,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2330,2000-01-13 00:00:00.0000000,70.8229,70.8229,69.6490,69.6490,147490954216,49.3359,50.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69.4142,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2330,2000-01-14 00:00:00.0000000,70.4314,72.3879,70.0402,71.2140,288318964353,59.0484,56.7302,NULL,NULL,NULL,NULL,NULL,NULL,79.9993,79.9993,79.9993,79.9993,70.1185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2330,2000-01-17 00:00:00.0000000,74.3444,74.3444,73.1706,73.1706,155256940719,68.4888,63.8313,NULL,NULL,NULL,NULL,NULL,NULL,85.0009,81.6665,80.5550,83.8894,70.7446,70.1967,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2330,2000-01-18 00:00:00.0000000,73.1706,73.1706,71.6052,71.9967,131648031590,58.3934,57.2544,57.1428,NULL,NULL,NULL,NULL,NULL,70.0005,77.7778,79.6293,74.0749,71.3706,70.4315,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.3477
2330,2000-01-19 00:00:00.0000000,71.9967,73.1706,71.6052,71.9967,134848688061,58.3934,57.2544,57.1428,NULL,NULL,NULL,NULL,NULL,70.0005,75.1854,78.1480,69.2602,71.6054,70.5098,NULL,NULL,70.4967,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7827
2330,2000-01-20 00:00:00.0000000,71.9967,71.9967,70.8229,71.2140,125758120596,50.6200,52.3584,53.9695,NULL,NULL,NULL,NULL,NULL,46.6639,65.6782,73.9914,49.0519,71.9184,70.6663,NULL,NULL,70.6071,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.5650
2330,2000-01-21 00:00:00.0000000,71.2140,72.7790,71.2140,72.7790,113397441219,62.9479,60.2814,59.0248,NULL,NULL,NULL,NULL,NULL,73.3286,68.2284,72.0704,60.5443,72.2314,71.1749,NULL,NULL,70.9412,NULL,NULL,NULL,NULL,NULL,83.6114,NULL,5.0865
2330,2000-01-24 00:00:00.0000000,73.5617,74.7356,73.1706,73.5617,175113122879,67.9500,63.7946,61.3817,59.9995,NULL,NULL,NULL,NULL,79.9993,72.1520,72.0976,72.2608,72.3096,71.5271,NULL,NULL,71.3444,NULL,NULL,NULL,NULL,2.1241,136.9873,NULL,3.5215
2330,2000-01-25 00:00:00.0000000,75.5183,75.5183,74.3444,75.5183,223692148326,77.4590,71.2191,66.7015,63.8887,NULL,NULL,NULL,NULL,100.0000,81.4347,75.2100,93.8841,73.0139,72.1923,NULL,NULL,71.9865,NULL,NULL,NULL,NULL,2.1122,158.1693,NULL,6.6520
2330,2000-01-26 00:00:00.0000000,77.8660,80.6048,77.8660,80.6048,357880999032,88.5236,82.2554,76.1798,71.6152,NULL,NULL,NULL,NULL,100.0000,87.6231,79.3477,104.1740,74.7356,73.1705,NULL,NULL,73.3124,NULL,NULL,NULL,NULL,2.3246,243.2591,NULL,9.7819
