id,symbol,datetime,open_price,high_price,low_price,close_price,volume,rsi_5,rsi_7,rsi_10,rsi_14,rsi_21,dif,macd,macd_histogram,rsv,k_value,d_value,j_value,ma5,ma10,ma20,ma60,ema12,ema26,bb_upper,bb_middle,bb_lower,atr,cci,willr,mom,created_at,updated_at,pattern_signals,MA_Cross,BB_Signal,MACD_Cross,Trend,MACD_Div,Anomaly,RSI_Signal,KD_Signal,SR_Signal,Volume_Anomaly,EMA_Cross,CCI_Signal,WILLR_Signal,MOM_Signal,Buy_Signals,Sell_Signals,Trade_Signal,Signal_Strength
485,9950,2024-06-25,16.4,16.4,16.0,16.15,296000,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-25 22:29:13.660000,2025-07-03 14:55:20.840000,,,,,偏空,,,,,,,,,,,0.0,0.5,,
486,9950,2024-06-26,16.15,16.3,16.1,16.1,158000,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-25 22:29:13.660000,2025-07-03 14:55:20.843333,,,,,偏空,,,,,,,,,,,0.0,0.5,,
487,9950,2024-06-27,16.15,16.2,16.0,16.05,209000,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-25 22:29:13.660000,2025-07-03 14:55:20.846666,,,,,偏空,,,,,,,,,,,0.0,0.5,,
488,9950,2024-06-28,16.05,16.2,16.0,16.1,138000,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-25 22:29:13.663333,2025-07-03 14:55:20.850000,,,,,偏空,,,,,,,,,,,0.0,0.5,,
489,9950,2024-07-01,16.15,16.7,16.15,16.6,269000,,,,,,,,,,,,,16.2,,,,,,,,,,,,,2025-06-25 22:29:13.663333,2025-07-03 14:55:20.860000,,,,,偏空,,,,,,,,,,,0.0,0.5,,
490,9950,2024-07-02,16.7,17.0,16.7,16.9,466000,89.4737,,,,,,,,,,,,16.35,,,,,,,,,,,,,2025-06-25 22:29:13.666666,2025-07-03 14:55:20.866666,,,,,偏空,,,,,,量能異常,,,,,0.7,0.5,,
491,9950,2024-07-03,17.05,17.05,16.6,16.7,155000,70.8333,,,,,,,,,,,,16.47,,,,,,,,,,,,,2025-06-25 22:29:13.666666,2025-07-03 14:55:20.870000,空頭吞沒,,,,偏空,,,,,,,,,,,0.0,0.5,,
492,9950,2024-07-04,16.75,16.75,16.35,16.4,236000,50.9363,58.6207,,,,,,,,,,,16.54,,,,,,,,,,,,,2025-06-25 22:29:13.666666,2025-07-03 14:55:20.876666,,,,,偏空,,,,,,,,,,,0.0,0.5,,
493,9950,2024-07-05,16.4,16.45,16.2,16.4,157000,50.9363,58.6207,,,,,,,38.0952,38.0952,38.0952,38.0952,16.6,,,,,,,,,,,,,2025-06-25 22:29:13.670000,2025-07-03 14:55:20.933333,,,,,偏空,,,,,,,,,,,0.0,0.5,,
494,9950,2024-07-08,16.45,16.8,16.45,16.65,220000,64.0758,66.4856,,,,,,,61.9048,46.0317,40.7407,56.6138,16.61,16.405,,,,,,,,,,,,2025-06-25 22:29:13.670000,2025-07-03 14:55:20.946666,,,,,偏空,,,,K上穿D,,,,,,,1.0,0.5,,
